system   D            wsystem.c:583  maybe_parent_dir                 [   0.00124] Also searching C:\Users\dpackard\Dropbox\Radiation\RadiationEngine\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00171] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00177] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01031] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.04823] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.04833] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.05124] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.05131] al_display=004C3740
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.05135] al_display->vt=004C3678
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07416] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.07423] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07427] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07431] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07434] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07437] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07441] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.07444] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07448] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07454] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07457] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07461] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.07464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07468] Score is : 897
